play_id,committing,disadvantaged,decision,committing_position,disadvantaged_position
11456,Kyle Lowry,CJ McCollum,CC,G,G
11457,CJ McCollum,DeMar DeRozan,CC,G,G-F
11458,Maurice Harkless,DeMar DeRozan,CNC,F-G,G-F
11459,Rudy Gay,Robert Covington,CNC,F-G,F
11461,Garrett Temple,Ersan Ilyasova,CNC,G-F,F
11463,Garrett Temple,Sergio Rodriguez,CNC,G-F,G
11465,Rudy Gay,Ersan Ilyasova,CNC,F-G,F
11467,DeMarcus Cousins,Joel Embiid,CNC,C,C-F
11468,Ersan Ilyasova,Rudy Gay,CNC,F,F-G
11469,Darren Collison,Robert Covington,INC,G,F
11470,Joel Embiid,Garrett Temple,CC,C-F,G-F
11471,Robert Covington,DeMarcus Cousins,CC,F,C
11472,DeMarcus Cousins,Joel Embiid,CNC,C,C-F
11474,Otto Porter Jr.,Matthew Dellavedova,CC,F,G
11476,Marcin Gortat,John Henson,CNC,C,F-C
11477,Markieff Morris,Matthew Dellavedova,CNC,F,G
11478,Jabari Parker,Marcin Gortat,CNC,F,C
11479,Otto Porter Jr.,Jabari Parker,CNC,F,F
11480,Jabari Parker,John Wall,CNC,F,G
11482,Matthew Dellavedova,Markieff Morris,CNC,G,F
11483,Otto Porter Jr.,Giannis Antetokounmpo,CNC,F,F
11485,Matthew Dellavedova,John Wall,CC,G,G
11486,Markieff Morris,Tony Snell,CNC,F,G
11487,Matthew Dellavedova,Bradley Beal,CC,G,G
11488,Al Horford,Andrew Harrison,CNC,C-F,G
11490,Tony Allen,Al Horford,CNC,G-F,C-F
11491,Avery Bradley,Tony Allen,CC,G,G-F
11492,Amir Johnson,Zach Randolph,CNC,C-F,F
11493,Andrew Harrison,Marcus Smart,CC,G,G
11494,James Ennis,Marcus Smart,CC,F,G
11496,Rudy Gobert,Julius Randle,CNC,C,F-C
11498,D'Angelo Russell,Joe Ingles,CNC,G,F-G
11499,Rudy Gobert,Julius Randle,CNC,C,F-C
11500,Luol Deng,Rudy Gobert,CNC,F,C
11501,Luol Deng,Rudy Gobert,INC,F,C
11502,Julius Randle,Joe Ingles,CNC,F-C,F-G
11504,Joe Johnson,Luol Deng,CNC,G-F,F
