play_id,committing,disadvantaged,decision,committing_position,disadvantaged_position
1,Avery Bradley,Stephen Curry,CNC,G,G
3,Isaiah Thomas,Andre Iguodala,CNC,G,G-F
4,Jae Crowder,Harrison Barnes,INC,F,F
6,Draymond Green,Isaiah Thomas,CC,F,G
7,Avery Bradley,Stephen Curry,CC,G,G
8,Avery Bradley,Stephen Curry,CC,G,G
9,Kenneth Faried,Tyreke Evans,CC,F-C,G-F
10,Eric Gordon,Ty Lawson,CC,G,G
11,Wilson Chandler,Omer Asik,CC,F,C
13,Will Barton,Eric Gordon,CC,G,G
14,Norris Cole,Danilo Gallinari,CC,G,F
15,Dante Cunningham,Wilson Chandler,INC,F,F
18,Wilson Chandler,Jimmer Fredette,CC,F,G
19,Ty Lawson,Norris Cole,CC,G,G
20,Ty Lawson,Tyreke Evans,CC,G,G-F
21,Wilson Chandler,Tyreke Evans,CC,F,G-F
22,Josh Smith,Kevin Love,CNC,F,F-C
23,JR Smith,James Harden,CC,G,G
24,Trevor Ariza,LeBron James,CC,F,F
25,Terrence Jones,Tristan Thompson,CC,F,C-F
26,Tristan Thompson,Josh Smith,CNC,C-F,F
27,Terrence Jones,LeBron James,CNC,F,F
28,Tristan Thompson,Terrence Jones,CC,C-F,F
30,LeBron James,James Harden,CNC,F,G
31,LeBron James,James Harden,INC,F,G
32,Josh Smith,LeBron James,CNC,F,F
33,Trevor Ariza,Tristan Thompson,CNC,F,C-F
34,Kevin Love,Josh Smith,CC,F-C,F
35,James Harden,LeBron James,INC,G,F
36,LeBron James,James Harden,INC,F,G
38,JR Smith,Josh Smith,CNC,G,F
39,Josh Smith,LeBron James,CC,F,F
40,JR Smith,James Harden,CC,G,G
41,LeBron James,James Harden,CC,F,G
43,Deron Williams,Harrison Barnes,CC,G,F
44,Andrew Bogut,Jarrett Jack,CNC,C,G
45,Brook Lopez,Klay Thompson,CNC,C,G
46,Draymond Green,Deron Williams,CNC,F,G
48,Andrew Bogut,Brook Lopez,CC,C,C
49,Andrew Bogut,Brook Lopez,CNC,C,C
50,Brook Lopez,Stephen Curry,CNC,C,G
51,Chris Paul,Andrew Wiggins,CC,G,F
52,Spencer Hawes,Andrew Wiggins,INC,F-C,F
55,Kevin Garnett,DeAndre Jordan,CC,F,C
58,Dahntay Jones,Gary Neal,IC,G-F,G
59,Jordan Hamilton,Gary Neal,CC,G-F,G
60,Ricky Rubio,Chris Paul,CNC,G,G
61,DeAndre Jordan,Adreian Payne,INC,C,F
62,Andrew Wiggins,Austin Rivers,CNC,F,G
63,Ricky Rubio,DeAndre Jordan,CNC,G,C
64,Kevin Garnett,Austin Rivers,CNC,F,G
65,Andrew Wiggins,Dahntay Jones,CC,F,G-F
66,Paul Millsap,Terrence Jones,CNC,F,F
67,Al Horford,Terrence Jones,CNC,C-F,F
68,Patrick Beverley,Jeff Teague,CNC,G,G
69,Al Horford,Trevor Ariza,CNC,C-F,F
70,DeMarre Carroll,Terrence Jones,CC,F,F
71,Donatas Motiejunas,Paul Millsap,CNC,F-C,F
73,Trevor Ariza,DeMarre Carroll,CC,F,F
74,Patrick Beverley,Paul Millsap,CC,G,F
75,Corey Brewer,Jeff Teague,CC,G-F,G
76,Jason Terry,Dennis Schroder,CC,G,G
77,Bradley Beal,Nikola Mirotic,INC,G,F
78,Tony Snell,John Wall,CNC,G,G
79,Nikola Mirotic,John Wall,CNC,F,G
81,John Wall,Aaron Brooks,INC,G,G
82,Marcin Gortat,Nikola Mirotic,CC,C,F
83,Joakim Noah,Otto Porter Jr.,CC,F-C,F
84,Garrett Temple,Pau Gasol,CC,G-F,C-F
85,Marcin Gortat,Tony Snell,INC,C,G
86,Jeremy Lin,Michael Kidd-Gilchrist,CC,G,F
88,Jordan Hill,Michael Kidd-Gilchrist,CNC,F-C,F
89,Wesley Johnson,Mo Williams,CC,F-G,G
90,Michael Kidd-Gilchrist,Jeremy Lin,CC,F,G
91,Jordan Clarkson,Gerald Henderson,CC,G,G
93,Wesley Johnson,Mo Williams,CC,F-G,G
94,Jordan Hill,Cody Zeller,CNC,F-C,F-C
95,Jordan Clarkson,Mo Williams,CC,G,G
97,Tony Allen,Corey Brewer,CC,G-F,G-F
98,Courtney Lee,James Harden,CC,G,G
99,James Harden,Courtney Lee,CNC,G,G
100,Corey Brewer,Marc Gasol,CNC,G-F,C
102,Corey Brewer,Courtney Lee,CC,G-F,G
103,Courtney Lee,Terrence Jones,INC,G,F
104,Marc Gasol,Terrence Jones,CNC,C,F
106,Zach Randolph,James Harden,INC,F,G
107,Spencer Hawes,Nicolas Batum,CNC,F-C,G-F
108,Damian Lillard,Chris Paul,CNC,G,G
109,DeAndre Jordan,Wesley Matthews,CNC,C,G
113,Chris Paul,LaMarcus Aldridge,CC,G,C-F
115,Hedo Turkoglu,Nicolas Batum,CC,F,G-F
116,Austin Rivers,Nicolas Batum,CC,G,G-F
117,JJ Redick,Damian Lillard,CNC,G,G
119,DeAndre Jordan,LaMarcus Aldridge,CNC,C,C-F
120,JJ Redick,Wesley Matthews,INC,G,G
121,Nicolas Batum,JJ Redick,CNC,G-F,G
122,Nicolas Batum,DeAndre Jordan,INC,G-F,C
123,Wesley Matthews,Austin Rivers,CC,G,G
124,Austin Rivers,Damian Lillard,INC,G,G
125,Henry Walker,Jordan Clarkson,CC,F,G
126,Hassan Whiteside,Jordan Clarkson,CC,C,G
127,Wayne Ellington,Dwyane Wade,CC,G,G
128,Jordan Hill,Goran Dragic,CNC,F-C,G
129,Dwyane Wade,Jordan Clarkson,CNC,G,G
130,Jordan Hill,Hassan Whiteside,IC,F-C,C
131,Jordan Clarkson,Hassan Whiteside,CC,G,C
133,Omer Asik,Greg Monroe,CNC,C,C
134,Tyreke Evans,Kentavious Caldwell-Pope,CNC,G-F,G
135,Reggie Jackson,Tyreke Evans,CNC,G,G-F
136,Andre Drummond,Anthony Davis,CC,C,F-C
137,Reggie Jackson,Tyreke Evans,CC,G,G-F
138,Serge Ibaka,Isaiah Canaan,CC,F,G
139,Isaiah Canaan,Russell Westbrook,CC,G,G
141,Serge Ibaka,Jerami Grant,CNC,F,F
142,Serge Ibaka,Nerlens Noel,CNC,F,C-F
143,Jerami Grant,Russell Westbrook,CNC,F,G
145,Nerlens Noel,D.J. Augustin,CNC,C-F,G
149,Dion Waiters,Nerlens Noel,CC,G,C-F
150,Luc Mbah a Moute,D.J. Augustin,CNC,F,G
151,Serge Ibaka,Luc Mbah a Moute,CC,F,F
152,D.J. Augustin,Luc Mbah a Moute,CNC,G,F
153,Nerlens Noel,Russell Westbrook,CC,C-F,G
154,Serge Ibaka,Nerlens Noel,CC,F,C-F
155,D.J. Augustin,Jason Richardson,CC,G,G
156,Jerami Grant,Russell Westbrook,CC,F,G
157,Russell Westbrook,Jason Richardson,CC,G,G
158,Jerami Grant,Russell Westbrook,CC,F,G
160,Hollis Thompson,Russell Westbrook,CC,G-F,G
161,Jonas Valanciunas,LeBron James,CNC,C,F
162,Lou Williams,Kyrie Irving,CC,G,G
163,Lou Williams,LeBron James,CC,G,F
165,Greivis Vasquez,Kyrie Irving,CC,G,G
166,Lou Williams,LeBron James,CC,G,F
167,Kyrie Irving,Greivis Vasquez,CNC,G,G
169,E'Twaun Moore,Russell Westbrook,CNC,G,G
170,Andre Roberson,Aaron Brooks,CNC,G-F,G
171,Enes Kanter,Nikola Mirotic,CNC,C,F
172,E'Twaun Moore,Russell Westbrook,CC,G,G
174,Pau Gasol,Andre Roberson,CNC,C-F,G-F
175,Serge Ibaka,Nikola Mirotic,CC,F,F
177,Russell Westbrook,E'Twaun Moore,CNC,G,G
180,Russell Westbrook,Nikola Mirotic,CC,G,F
181,PJ Tucker,Cory Jefferson,CNC,F,F
182,Thaddeus Young,Brandon Knight,CC,F,G
183,Marcus Morris,Brook Lopez,INC,F,C
184,Deron Williams,Marcus Morris,CC,G,F
185,Markieff Morris,Deron Williams,INC,F,G
187,Thaddeus Young,Brandon Knight,CNC,F,G
188,Brook Lopez,Markieff Morris,CNC,C,F
189,Joe Johnson,PJ Tucker,INC,G-F,F
190,Jarrett Jack,Eric Bledsoe,CC,G,G
191,Marcus Morris,Joe Johnson,CNC,F,G-F
192,Markieff Morris,Jarrett Jack,CC,F,G
193,Jarrett Jack,Brandon Knight,CNC,G,G
196,Deron Williams,Eric Bledsoe,CC,G,G
197,Deron Williams,Eric Bledsoe,CC,G,G
198,Jarrett Jack,Brandan Wright,CC,G,F
199,Jordan Hill,Jeff Green,CC,F-C,F
202,Wesley Johnson,Mike Conley,CC,F-G,G
203,Jordan Hill,Marc Gasol,CC,F-C,C
205,Jordan Hill,Marc Gasol,CC,F-C,C
207,Jordan Clarkson,Mike Conley,CC,G,G
208,Nick Calathes,Wayne Ellington,CC,G,G
209,Jeff Green,Carlos Boozer,IC,F,F
210,Carlos Boozer,Marc Gasol,CC,F,C
211,Wayne Ellington,Nick Calathes,CC,G,G
213,DeMarcus Cousins,Victor Oladipo,CNC,C,G
214,Dewayne Dedmon,Andre Miller,CNC,C,G
215,Dewayne Dedmon,DeMarcus Cousins,CC,C,C
217,Dewayne Dedmon,DeMarcus Cousins,INC,C,C
218,Aaron Gordon,Omri Casspi,CC,F,F
219,Dewayne Dedmon,DeMarcus Cousins,CNC,C,C
220,Dewayne Dedmon,DeMarcus Cousins,CNC,C,C
221,Andre Miller,Channing Frye,CC,G,F-C
222,Andre Miller,Tobias Harris,CC,G,F
223,Omri Casspi,Tobias Harris,CC,F,F
224,Garrett Temple,Tyler Johnson,CNC,G-F,G
227,Paul Pierce,Henry Walker,CNC,F,F
228,Tyler Johnson,Bradley Beal,CC,G,G
229,Shabazz Napier,Bradley Beal,CC,G,G
231,Michael Beasley,DeMarcus Cousins,CC,F,C
232,Michael Beasley,DeMarcus Cousins,CC,F,C
233,Chris Andersen,Rudy Gay,CNC,F-C,F-G
234,Chris Andersen,Andre Miller,CNC,F-C,G
235,Chris Andersen,Rudy Gay,CNC,F-C,F-G
236,Henry Walker,DeMarcus Cousins,CNC,F,C
237,Chris Andersen,Ray McCallum,CNC,F-C,G
238,Chris Andersen,Rudy Gay,CNC,F-C,F-G
239,Chris Andersen,DeMarcus Cousins,CNC,F-C,C
240,Ben McLemore,Chris Andersen,CC,G,F-C
242,DeMarcus Cousins,Mario Chalmers,CC,C,G
243,Ray McCallum,Chris Andersen,CC,G,F-C
244,Mario Chalmers,Rudy Gay,CC,G,F-G
245,Ben McLemore,Dwyane Wade,CC,G,G
246,Henry Walker,Ben McLemore,IC,F,G
247,Andre Miller,Dwyane Wade,CC,G,G
248,Ray McCallum,Dwyane Wade,CC,G,G
249,Chris Andersen,Andre Miller,CC,F-C,G
250,Giannis Antetokounmpo,Paul Pierce,CC,F,F
251,Ersan Ilyasova,John Wall,CC,F,G
252,Paul Pierce,Michael Carter-Williams,IC,F,G
253,Khris Middleton,Garrett Temple,CC,F,G-F
254,Marcin Gortat,Michael Carter-Williams,CNC,C,G
255,Marcin Gortat,Jerryd Bayless,CC,C,G
256,Giannis Antetokounmpo,Paul Pierce,CC,F,F
257,Garrett Temple,Jerryd Bayless,CC,G-F,G
258,Omer Asik,Marc Gasol,CNC,C,C
259,Tony Allen,Ryan Anderson,CNC,G-F,F
260,Marc Gasol,Omer Asik,INC,C,C
261,Anthony Davis,Tony Allen,CC,F-C,G-F
262,Marc Gasol,Alexis Ajinca,CNC,C,C
263,Anthony Davis,Mike Conley,INC,F-C,G
264,Tyreke Evans,Jeff Green,CC,G-F,F
265,Nick Calathes,Eric Gordon,CNC,G,G
266,Jeff Green,Eric Gordon,CC,F,G
267,Norris Cole,Mike Conley,CNC,G,G
268,Courtney Lee,Tyreke Evans,CC,G,G-F
269,Marc Gasol,Omer Asik,CC,C,C
270,Shane Larkin,Rodney Stuckey,CC,G,G
271,Roy Hibbert,Shane Larkin,INC,C,G
272,Alexey Shved,George Hill,CC,G,G
273,Al Horford,Hollis Thompson,CNC,C-F,G-F
274,Isaiah Canaan,Jeff Teague,CNC,G,G
275,Ish Smith,Kent Bazemore,CC,G,G-F
276,Mike Scott,Isaiah Canaan,CNC,F,G
277,Jeff Teague,Nerlens Noel,CC,G,C-F
278,Omer Asik,Giannis Antetokounmpo,CNC,C,F
279,John Henson,Anthony Davis,CC,F-C,F-C
280,Quincy Pondexter,Giannis Antetokounmpo,CNC,F,F
282,John Henson,Dante Cunningham,CNC,F-C,F
283,Khris Middleton,Dante Cunningham,INC,F,F
284,Jerryd Bayless,Norris Cole,CC,G,G
285,Jerryd Bayless,Norris Cole,CC,G,G
286,Jerryd Bayless,Norris Cole,CNC,G,G
288,Jordan Hill,Spencer Dinwiddie,CNC,F-C,G
289,Andre Drummond,Jordan Hill,CNC,C,F-C
290,Carlos Boozer,Greg Monroe,CC,F,C
291,Kentavious Caldwell-Pope,Wayne Ellington,CNC,G,G
292,Andre Drummond,Jeremy Lin,CC,C,G
293,Jeremy Lin,Spencer Dinwiddie,CNC,G,G
294,Andre Drummond,Jordan Hill,INC,C,F-C
295,Spencer Dinwiddie,Jeremy Lin,CC,G,G
296,Jodie Meeks,Jordan Hill,CC,G,F-C
297,Derrick Favors,Lance Thomas,CNC,F,F
298,Langston Galloway,Rodney Hood,CNC,G,G-F
299,Rudy Gobert,Langston Galloway,CNC,C,G
300,Joe Ingles,Cole Aldrich,CC,F-G,C
301,Derrick Favors,Andrea Bargnani,CC,F,C-F
302,Alexey Shved,Rodney Hood,CNC,G,G-F
303,Dante Exum,Langston Galloway,CNC,G,G
305,Derrick Favors,Andrea Bargnani,CNC,F,C-F
306,Rudy Gobert,Cole Aldrich,CNC,C,C
307,Alexey Shved,Trey Burke,CC,G,G
308,Dante Exum,Alexey Shved,CC,G,G
309,Alexey Shved,Trey Burke,CC,G,G
311,Jae Crowder,Jeff Green,CNC,F,F
312,Jae Crowder,Zach Randolph,CC,F,F
313,Mike Conley,Tyler Zeller,CNC,G,F-C
314,Tyler Zeller,Zach Randolph,CNC,F-C,F
315,Marc Gasol,Marcus Smart,CNC,C,G
316,Courtney Lee,Marcus Smart,CC,G,G
317,Jae Crowder,Jeff Green,CNC,F,F
318,Marc Gasol,Tyler Zeller,CC,C,F-C
319,Brandon Bass,Jeff Green,CNC,F,F
320,Tyler Zeller,Jeff Green,CNC,F-C,F
321,Zach Randolph,Jonas Jerebko,INC,F,F
324,Elfrid Payton,Michael Carter-Williams,CNC,G,G
326,Elfrid Payton,Michael Carter-Williams,CC,G,G
327,Jared Dudley,Tobias Harris,CNC,F,F
328,Nikola Vucevic,Giannis Antetokounmpo,CNC,C,F
329,Channing Frye,Khris Middleton,CC,F-C,F
330,Luc Mbah a Moute,Pau Gasol,CNC,F,C-F
331,E'Twaun Moore,Ish Smith,CNC,G,G
332,Pau Gasol,Isaiah Canaan,CNC,C-F,G
334,Nerlens Noel,Pau Gasol,CNC,C-F,C-F
335,Aaron Brooks,Ish Smith,CC,G,G
336,Hollis Thompson,Tony Snell,CNC,G-F,G
337,Aaron Brooks,Jerami Grant,CC,G,F
338,Pau Gasol,Isaiah Canaan,CNC,C-F,G
339,Pau Gasol,Ish Smith,CNC,C-F,G
340,Nikola Mirotic,Isaiah Canaan,INC,F,G
341,Nerlens Noel,Tony Snell,INC,C-F,G
342,Isaiah Canaan,Mike Dunleavy,CNC,G,G-F
343,Nerlens Noel,Kirk Hinrich,INC,C-F,G
344,Jerami Grant,Nikola Mirotic,CC,F,F
345,Nerlens Noel,Tony Snell,CC,C-F,G
346,Pau Gasol,Robert Covington,IC,C-F,F
347,Zaza Pachulia,C.J. Watson,CNC,C,G
348,David West,Michael Carter-Williams,CNC,F,G
349,CJ Miles,Khris Middleton,CNC,F-G,F
350,David West,Ersan Ilyasova,CC,F,F
351,Ersan Ilyasova,Luis Scola,INC,F,F
352,Khris Middleton,Rodney Stuckey,CNC,F,G
353,Giannis Antetokounmpo,Luis Scola,CNC,F,F
354,Ian Mahinmi,Zaza Pachulia,CC,C,C
355,Ian Mahinmi,Zaza Pachulia,CC,C,C
356,Rodney Stuckey,Zaza Pachulia,CNC,G,C
357,Khris Middleton,Rodney Stuckey,CC,F,G
358,Luis Scola,Khris Middleton,CNC,F,F
359,Giannis Antetokounmpo,George Hill,CC,F,G
362,Khris Middleton,George Hill,CNC,F,G
363,Luis Scola,Michael Carter-Williams,CNC,F,G
364,Zaza Pachulia,George Hill,IC,C,G
365,Rodney Stuckey,Khris Middleton,CNC,G,F
366,Zaza Pachulia,Rodney Stuckey,CC,C,G
367,George Hill,Michael Carter-Williams,CNC,G,G
368,Ersan Ilyasova,George Hill,CNC,F,G
369,Rodney Stuckey,Khris Middleton,CNC,G,F
370,Michael Carter-Williams,George Hill,CC,G,G
371,Zaza Pachulia,Solomon Hill,CNC,C,F
372,Tim Duncan,Tristan Thompson,CC,C-F,C-F
373,Danny Green,James Jones,CC,G,G-F
374,Danny Green,LeBron James,CNC,G,F
375,Tristan Thompson,Kawhi Leonard,CC,C-F,F
376,Danny Green,Tristan Thompson,INC,G,C-F
377,Kawhi Leonard,Kyrie Irving,CC,F,G
378,James Jones,Kawhi Leonard,CC,G-F,F
379,Tristan Thompson,Tony Parker,CNC,C-F,G
381,Tim Duncan,Iman Shumpert,INC,C-F,G
382,Iman Shumpert,Kawhi Leonard,CNC,G,F
383,Kawhi Leonard,Iman Shumpert,CC,F,G
385,James Jones,Boris Diaw,CC,G-F,C-F
386,Tristan Thompson,Danny Green,CNC,C-F,G
388,Kevin Love,Tim Duncan,CNC,F-C,C-F
389,Tony Parker,Kyrie Irving,CC,G,G
390,Danny Green,Kevin Love,CNC,G,F-C
391,Danny Green,LeBron James,CNC,G,F
392,Iman Shumpert,Tony Parker,CC,G,G
393,Kawhi Leonard,Kyrie Irving,CC,F,G
394,Tim Duncan,LeBron James,CNC,C-F,F
395,Boris Diaw,Kyrie Irving,CC,C-F,G
396,Danny Green,LeBron James,CC,G,F
397,JR Smith,Danny Green,CC,G,G
398,Dewayne Dedmon,Avery Bradley,CNC,C,G
399,Phil Pressey,Elfrid Payton,CC,G,G
400,Phil Pressey,Elfrid Payton,CNC,G,G
401,Nikola Vucevic,Avery Bradley,INC,C,G
402,Brandon Bass,Victor Oladipo,CNC,F,G
403,Maurice Harkless,Brandon Bass,CC,F-G,F
404,Victor Oladipo,Evan Turner,CNC,G,G-F
405,Evan Turner,Elfrid Payton,CNC,G-F,G
406,Jae Crowder,Elfrid Payton,CC,F,G
407,Aaron Gordon,Evan Turner,CC,F,G-F
408,Nikola Vucevic,Avery Bradley,INC,C,G
409,Tobias Harris,Marcus Smart,CC,F,G
410,Rudy Gobert,Kentavious Caldwell-Pope,CNC,C,G
411,Kentavious Caldwell-Pope,Gordon Hayward,INC,G,F
412,Tayshaun Prince,Rudy Gobert,CC,F,C
413,Terrence Jones,Blake Griffin,CNC,F,F
414,Trevor Ariza,Matt Barnes,CC,F,F
415,Chris Paul,James Harden,CNC,G,G
416,DeAndre Jordan,Donatas Motiejunas,CNC,C,F-C
417,Terrence Jones,Blake Griffin,CNC,F,F
418,Donatas Motiejunas,Chris Paul,CNC,F-C,G
419,James Harden,Chris Paul,CNC,G,G
420,Chris Paul,James Harden,CC,G,G
421,Chris Paul,James Harden,CNC,G,G
422,Blake Griffin,James Harden,INC,F,G
423,Blake Griffin,Trevor Ariza,CC,F,F
426,DeAndre Jordan,James Harden,CC,C,G
427,DeAndre Jordan,Terrence Jones,CNC,C,F
428,Trevor Ariza,Chris Paul,CNC,F,G
429,Tyreke Evans,Jameer Nelson,INC,G-F,G
430,Tyreke Evans,Jameer Nelson,CNC,G-F,G
431,Kenneth Faried,Anthony Davis,CNC,F-C,F-C
432,Will Barton,Dante Cunningham,CNC,G,F
433,Kenneth Faried,Tyreke Evans,CNC,F-C,G-F
434,Dante Cunningham,Danilo Gallinari,INC,F,F
436,Kenneth Faried,Anthony Davis,CNC,F-C,F-C
438,Anthony Davis,Kenneth Faried,CNC,F-C,F-C
439,Kenneth Faried,Anthony Davis,CC,F-C,F-C
440,Danilo Gallinari,Tyreke Evans,CNC,F,G-F
441,Will Barton,Tyreke Evans,CNC,G,G-F
442,Tyreke Evans,Ty Lawson,CNC,G-F,G
443,Danilo Gallinari,Eric Gordon,CNC,F,G
444,Dante Cunningham,Ty Lawson,CNC,F,G
445,Danilo Gallinari,Tyreke Evans,CNC,F,G-F
448,Kenneth Faried,Anthony Davis,CNC,F-C,F-C
449,Will Barton,Tyreke Evans,CNC,G,G-F
450,Danilo Gallinari,Anthony Davis,CC,F,F-C
451,Kenneth Faried,Norris Cole,CNC,F-C,G
452,Dante Cunningham,Kenneth Faried,INC,F,F-C
453,Kenneth Faried,Anthony Davis,INC,F-C,F-C
455,Tyreke Evans,Danilo Gallinari,INC,G-F,F
456,Dante Cunningham,Danilo Gallinari,CC,F,F
457,Tyreke Evans,Danilo Gallinari,INC,G-F,F
458,Tyreke Evans,Danilo Gallinari,INC,G-F,F
460,Eric Gordon,Danilo Gallinari,CNC,G,F
461,Dante Cunningham,Danilo Gallinari,CC,F,F
462,Tyreke Evans,Will Barton,CC,G-F,G
463,Enes Kanter,Tony Snell,CNC,C,G
464,Nikola Mirotic,Andre Roberson,CNC,F,G-F
465,Tony Snell,Russell Westbrook,CC,G,G
466,Russell Westbrook,Nikola Mirotic,CNC,G,F
467,Dion Waiters,E'Twaun Moore,CNC,G,G
469,Enes Kanter,E'Twaun Moore,CNC,C,G
470,Andre Roberson,Aaron Brooks,CNC,G-F,G
471,Pau Gasol,Enes Kanter,CC,C-F,C
472,D.J. Augustin,Nikola Mirotic,CC,G,F
473,E'Twaun Moore,Russell Westbrook,CC,G,G
475,E'Twaun Moore,Russell Westbrook,CC,G,G
476,Steven Adams,Dirk Nowitzki,CC,C,F
477,Enes Kanter,Dirk Nowitzki,CNC,C,F
478,Steven Adams,Tyson Chandler,CC,C,C
479,Andre Roberson,Rajon Rondo,CNC,G-F,G
480,Rajon Rondo,Russell Westbrook,CNC,G,G
481,Tyson Chandler,Enes Kanter,CNC,C,C
482,Tyson Chandler,Dion Waiters,CNC,C,G
483,D.J. Augustin,Chandler Parsons,CNC,G,F
484,Russell Westbrook,Rajon Rondo,CC,G,G
485,Russell Westbrook,Chandler Parsons,CC,G,F
486,Dion Waiters,Monta Ellis,CC,G,G
487,Mitch McGary,Monta Ellis,CC,F,G
488,Enes Kanter,Richard Jefferson,CC,C,F
489,Tyson Chandler,Dion Waiters,CNC,C,G
490,Dion Waiters,Monta Ellis,CC,G,G
491,Enes Kanter,Monta Ellis,CNC,C,G
493,Jordan Hill,Draymond Green,CNC,F-C,F
494,Andrew Bogut,Wayne Ellington,CNC,C,G
495,Klay Thompson,Jordan Clarkson,INC,G,G
496,Draymond Green,Jordan Clarkson,IC,F,G
497,Wesley Johnson,Stephen Curry,CC,F-G,G
498,Draymond Green,Wayne Ellington,CC,F,G
499,Jordan Clarkson,Stephen Curry,CC,G,G
501,Paul Millsap,DeMarcus Cousins,CC,F,C
502,Omri Casspi,Jeff Teague,INC,F,G
504,Pero Antic,DeMarcus Cousins,CNC,F-C,C
505,Paul Millsap,DeMarcus Cousins,CC,F,C
506,Ben McLemore,Shelvin Mack,CC,G,G
507,Jeff Teague,Nik Stauskas,CC,G,G
509,Ray McCallum,Jeff Teague,CC,G,G
511,Ben McLemore,Jeff Teague,CC,G,G
512,Zaza Pachulia,Quincy Pondexter,CNC,C,F
513,Quincy Pondexter,Khris Middleton,CNC,F,F
515,Eric Gordon,Jerryd Bayless,CC,G,G
516,Zaza Pachulia,Eric Gordon,INC,C,G
517,Khris Middleton,Tyreke Evans,INC,F,G-F
518,Anthony Davis,Jerryd Bayless,CC,F-C,G
519,Jerryd Bayless,Eric Gordon,CNC,G,G
521,Zaza Pachulia,Anthony Davis,CNC,C,F-C
522,Kawhi Leonard,Langston Galloway,CNC,F,G
523,Tim Duncan,Langston Galloway,CNC,C-F,G
524,Lou Amundson,Tony Parker,CC,F,G
525,Tim Duncan,Lance Thomas,CNC,C-F,F
526,Lance Thomas,Kawhi Leonard,CC,F,F
527,Lou Amundson,Tony Parker,CNC,F,G
528,Tiago Splitter,Jason Smith,INC,C-F,F-C
529,Shane Larkin,Tiago Splitter,CNC,G,C-F
531,Tim Duncan,Langston Galloway,CNC,C-F,G
532,Tim Duncan,Langston Galloway,CC,C-F,G
534,Jason Smith,Boris Diaw,CNC,F-C,C-F
535,Andrea Bargnani,Tony Parker,CNC,C-F,G
536,Lance Thomas,Kawhi Leonard,CC,F,F
537,Langston Galloway,Kawhi Leonard,CNC,G,F
538,Lou Amundson,Tim Duncan,INC,F,C-F
539,Boris Diaw,Alexey Shved,CC,C-F,G
541,Marco Belinelli,Lance Thomas,CNC,G,F
542,Lance Thomas,Kawhi Leonard,CNC,F,F
545,Tim Duncan,Alexey Shved,INC,C-F,G
546,Boris Diaw,Jason Smith,CC,C-F,F-C
547,Lou Amundson,Tim Duncan,CC,F,C-F
548,Boris Diaw,Lou Amundson,CC,C-F,F
549,Jason Smith,Tim Duncan,INC,F-C,C-F
550,Tony Parker,Alexey Shved,CC,G,G
551,Monta Ellis,Channing Frye,CNC,G,F-C
552,Channing Frye,Dirk Nowitzki,CNC,F-C,F
553,Nikola Vucevic,Dirk Nowitzki,CNC,C,F
555,Nikola Vucevic,Monta Ellis,CC,C,G
558,Al-Farouq Aminu,Elfrid Payton,CC,F,G
559,Elfrid Payton,Devin Harris,CC,G,G
560,Tyson Chandler,Victor Oladipo,CNC,C,G
561,Maurice Harkless,Monta Ellis,CC,F-G,G
564,Maurice Harkless,Devin Harris,CC,F-G,G
565,Nikola Vucevic,Rajon Rondo,INC,C,G
566,Victor Oladipo,Al-Farouq Aminu,CC,G,F
567,Devin Harris,Victor Oladipo,CNC,G,G
568,Udonis Haslem,LaMarcus Aldridge,CNC,F,C-F
569,Hassan Whiteside,Robin Lopez,CNC,C,C
570,Udonis Haslem,Nicolas Batum,CNC,F,G-F
572,CJ McCollum,Dwyane Wade,CC,G,G
573,Amir Johnson,Gorgui Dieng,CNC,C-F,C
575,Lou Williams,Gorgui Dieng,CNC,G,C
576,DeMar DeRozan,Kevin Martin,CNC,G-F,G
577,Ricky Rubio,Patrick Patterson,CC,G,F
578,Derrick Favors,Jordan Hill,CNC,F,F-C
579,Wesley Johnson,Gordon Hayward,CC,F-G,F
580,Jordan Hill,Elijah Millsap,CNC,F-C,G-F
581,Wesley Johnson,Elijah Millsap,CC,F-G,G-F
582,Rudy Gobert,Tarik Black,CC,C,F-C
583,Jabari Brown,Gordon Hayward,CC,G,F
584,Jordan Clarkson,Trey Burke,CC,G,G
585,Shane Larkin,Andrew Wiggins,CC,G,F
587,Andrew Wiggins,Quincy Acy,INC,F,F
588,Gorgui Dieng,Shane Larkin,CC,C,G
589,Gorgui Dieng,Alexey Shved,CC,C,G
590,Lance Thomas,Kevin Martin,CNC,F,G
591,Gorgui Dieng,Cole Aldrich,CNC,C,C
592,Alexey Shved,Andrew Wiggins,CNC,G,F
593,Alexey Shved,Andrew Wiggins,CC,G,F
594,Gorgui Dieng,Langston Galloway,CNC,C,G
596,Andrew Wiggins,Alexey Shved,CNC,F,G
597,Alexey Shved,Andrew Wiggins,CNC,G,F
598,Alexey Shved,Andrew Wiggins,CC,G,F
599,Kevin Martin,Andrea Bargnani,CNC,G,C-F
600,Alexey Shved,Andrew Wiggins,INC,G,F
601,Andrea Bargnani,Andrew Wiggins,CNC,C-F,F
602,Gorgui Dieng,Langston Galloway,CNC,C,G
603,Chase Budinger,Alexey Shved,INC,F,G
604,Gorgui Dieng,Alexey Shved,CNC,C,G
605,Langston Galloway,Zach LaVine,CC,G,G-F
606,Lorenzo Brown,Alexey Shved,CNC,G,G
607,Langston Galloway,Zach LaVine,IC,G,G-F
